CUST_Type,CUST_Name,phoneNumber,address,district,longitude,latitude
Mainstream,Sra Memorial,244981990,Accra,South,-0.29024,5.59941
Mainstream,TYCOON(A2),209133959,Somanya,South,-0.02057,6.09441
Low End,YELLOW BASE(C3),244482896,Somanya,South,-0.02015,6.09459
Mainstream,DORA SPOT(C3),541188018,Somanya,South,-0.02048,6.09522
Mainstream,TIM'S PUB(C1),244763744,Accra,South,0.08674,6.22279
Wholesaler,KOB'S SOCIAL CENTRE(C1),244993506,Accra,South,-0.0169804,6.0981127
Low End,REMEMBER SPOT(C1),541848592,Accra,South,-0.016614,6.098837
Mainstream,Papillon Spot,243756593,Accra,South,-0.27329,5.60026
Mainstream,Palm Hill,243511654,Accra,South,-0.25649,5.60882
Low End,Nana Ago Enterprise,242875375,Accra,South,-0.10427,5.95154
Mainstream,PAT CHOP SPOT(C2),243267526,Accra,South,-0.10634,5.94755
Low End,Naa spot Alomo Akropong,243652143,Ghana,South,-0.1106172,5.944045
Mainstream,STILL U LIE SPOT(B2),540790012,Koftown,South,-0.1119769,5.9423656
Mainstream,HOMEBASE MAMFE(C3),246356603,Accra,South,-0.115396,5.938764
Mainstream,MEET IDORS ANNEX MAMFE(C3,558796938,Accra,South,-0.24873,5.61621
Mainstream,BULA SPOTMAMFE -MAMFE(B3),245763523,Accra,South,-0.116273,5.939347
Mainstream,STOP OVER MAMFE(C3),246693311,Accra,South,-0.1170911,5.9409714
Mainstream,LOVERS INN AMANOKROM(B2),243764370,Accra,South,-0.122092,5.93485
Mainstream,Christessa Spot Amanokrom,242155519,Accra,South,-0.23082,5.62314
Mainstream,RUMBLES REST(C2),244618588,Accra,South,-0.12288,5.93408
Mainstream,PALACE VIEW AMANOKROM(C3),208205694,Accra,South,-0.12499,5.93228
Mainstream,PARLIAMENT PUB(A2),243055223,Accra,South,-0.1256629,5.93197
Mainstream,OPKS JOINT(B2),200801610,Accra,South,-0.13514,5.91882
Mainstream,Vera spot-Mampong,245773034,Accra,South,-0.27991,5.5933
Mainstream,EUFLOBA STOP OVER(B2),203947396,Accra,South,-0.2781,5.59773
Mainstream,Timeless Spot - Mampong,276833610,Accra,South,-0.2638,5.59083
Low End,Kris Oak,244566790,Accra,South,-0.1435153,5.910474
Mainstream,Base One Spot,242045277,Accra,South,-0.26767,5.59097
Mainstream,Monic Spot,594470468,Accra,South,-0.25771,5.59587
Wholesaler,Weblet Venture,246259092,Ghana,South,-0.15545,5.88671
Mainstream,Valmons Stop Over,558043202,Accra,South,-0.25986,5.57942
Mainstream,Happy Yourself,242569717,Ghana,South,-0.1621625,5.8642855
Mainstream,Lansdown Ibru Height Vill,244048751,Accra,South,-0.26391,5.58207
Mainstream,Lansdown Ibru Height Vill,556177544,Accra,South,-0.26171,5.58332
Mainstream,RECREATION SPOT(C3),206433335,Accra,South,-0.17572,5.84662
Low End,STOP OVER ABURI(C3),508297820,Accra,South,-0.1753026,5.8426995
Mainstream,GOLDEN DREAM(A2),243704645,Accra,South,-0.17421,5.84643
Low End,Phylisco,241088612,Ghana,South,-0.0787409,6.0165076
Mainstream,FUNCITY PUB(B2),243130797,Accra,South,-0.078203,6.0164294
Low End,OLD TIMERS ADUKROM(B3),209009524,Accra,South,-0.0779882,6.0145135
